imdbId,reviews
0055323,10
0249603,12
6755366,1
0297986,4
6671244,8
1382339,2
1156447,6
10551150,1
0056567,4
10199670,8
8132166,0
0074325,0
0045089,1
0064853,2
0093295,3
10192640,2
2040407,2
2361219,1
1489931,0
4265816,0
3646942,0
0103134,1
0286704,2
0227866,3
10768348,58
6810038,0
3484826,1
4015996,0
0272125,8
1732162,1
0257381,7
1462647,1
0489278,6
0487505,3
2271777,2
11108064,5
8363914,34
4191486,3
6522646,0
8002980,0
1536480,1
1798223,4
0215759,2
0976046,0
5065790,2
11170942,2
9534808,22
0155858,7
4729430,485
0051536,27
0226083,3
0229753,1
0190478,0
0241282,6
6843446,20
10219384,2
0846109,1
0096194,5
3148528,0
8619812,3
0109380,4
0900381,11
0457207,1
8655470,8
0089301,5
0226771,30
0097966,5
0105335,1
1680060,1
0350754,14
7049542,35
0099814,7
0243872,5
0217862,2
0053276,0
0446733,2
5097410,182
0222029,23
1125192,0
2625082,0
6398496,2
10627776,1
8096832,185
4035866,4
6463320,142
10310222,0
2050492,2
3660094,0
3730162,1
4631810,0
0070312,18
7275840,2
9806192,52
0182374,6
0159509,2
10553910,26
0098693,0
0360032,27
6494358,3
5563334,123
10675136,43
0107285,7
6271820,1
6924650,442
3635712,3
0039076,11
0225033,2
9639274,1
3641502,1
1950235,157
11168100,26
0268374,6
0110835,0
2348132,1
0213159,0
0061097,0
0059813,2
0063769,0
0119899,4
0026206,6
8296660,4
9646240,28
0087416,10
5363486,0
6445414,2
11028234,2
5053156,39
0089287,2
1403075,1
8059170,0
4045444,0
0108275,7
0070458,40
7075594,4
2525618,1
9482858,0
6918674,2
3736766,0
5105734,3
6149464,3
0473609,7
0119763,7
0097473,2
0038401,10
5747692,4
2050515,0
1493208,2
1146321,9
9135272,4
8178486,125
2093234,0
6603700,7
0387691,11
8396294,17
0287782,1
0051704,3
1673369,1
8618716,15
5428668,3
9664078,274
0261162,1
9900782,137
0166557,0
8811382,17
3577454,0
1267389,0
8721556,96
8220326,0
2018130,6
7493184,2
7760890,5
9614440,5
6722976,10
7485048,549
7430722,515
3154432,2
1729630,3
4292420,1
0073762,10
1741667,2
10327136,4
0090299,3
0017438,11
0019688,40
0287665,19
0166681,10
0138647,11
0220025,19
0316352,12
0438021,6
0493243,3
0491000,21
0829251,12
2188885,7
2280358,7
1553935,3
8510488,121
7672068,3
1388373,0
8970448,24
8631800,4
9145478,0
9530954,0
6622960,0
10253466,26
7281188,0
10071790,0
9134216,97
9089294,13
9647330,1
6591568,1
4295072,0
2934340,0
4243172,0
1986935,0
1401245,0
2112143,1
2343707,0
7042838,34
10145122,9
0108570,15
2006697,6
4766630,18
9288776,15
0795457,36
10571920,13
0066860,2
8796204,1
6583162,7
0064661,0
0429121,2
0038470,11
4818776,12
1342983,0
8792898,0
0170734,1
2751140,12
2256811,6
0808179,3
0218353,2
0098088,0
0959285,3
8116258,0
3554298,0
2160413,0
2202800,2
10150694,10
0452564,3
10700392,14
0411227,0
0059559,1
0229229,0
8386898,12
1001464,3
10244760,2
7358154,13
0067663,7
10136898,21
4693588,2
1334528,1
7493854,2
0387954,18
0293913,35
6193408,31
10327842,32
0058489,0
0175982,0
4648786,174
2677712,0
1223377,0
5802966,0
2547530,2
8269120,54
8026506,0
5328006,15
5462892,0
0077254,18
0077174,27
3522138,7
10840162,0
7549644,3
10767426,5
8359816,47
10548944,18
8411144,98
5210324,3
8123886,0
0997093,7
3059766,0
3231020,1
0068648,8
4132216,1
5430020,0
0108484,3
8485548,31
9052870,438
6196936,35
10887504,8
0141270,9
6446550,2
6736198,13
7434324,42
7491968,10
8858420,5
5699928,20
9257484,136
0493373,1
2736858,13
5740852,8
0057848,5
2401196,3
0026000,32
0190229,14
0264410,12
0170311,0
10687158,33
10039344,110
7390646,173
4602718,0
5088528,10
2315778,0
6217564,0
6437228,11
4516162,3
0101003,8
3707396,1
7543904,5
1933552,0
9817070,14
5658296,0
4163264,3
6211538,0
2440036,8
10971520,34
6450804,1719
9563632,1
9648078,0
10516086,0
5087462,1
0065168,23
0259253,1
0268225,1
0219064,0
0829122,1
6141246,245
0104124,7
0285080,2
0256700,7
0796407,2
4169146,24
0427617,11
11101550,4
5305246,11
8991322,1
8176054,120
5368108,4
10326928,80
8383656,0
8106562,2
9204136,2
5101878,2
8988748,19
0022462,12
8178850,0
8890454,1
2153905,1
8173728,3
1084692,1
7853636,0
9654596,0
0067620,7
4388964,4
7029812,0
0077175,2
8535180,46
5389708,1
0164143,20
0038731,8
6961808,3
6246534,8
6592296,2
8983202,628
9617506,0
9172422,11
6453158,8
2398149,10
0067773,20
4336752,0
0192612,2
0136436,0
0121654,1
0139102,0
0138434,0
0139662,0
0138073,0
10915286,96
8869978,144
0436295,12
7284202,26
10026730,0
0285479,3
0077924,8
6269434,30
8621562,0
9431740,0
7028140,1
0406227,1
0239348,1
0208028,0
0174827,1
0168176,2
0167242,1
1464251,0
0138835,1
0138690,0
0107672,2
0997080,2
7925066,1
9308406,0
4476106,0
3109830,10
6208032,7
0103960,2
0100509,1
5213870,13
7596220,10
8461330,0
1772381,2
0293175,3
0215664,8
0178265,2
0486978,6
6560164,76
0179359,9
0057991,0
10167480,0
10327712,7
11057912,0
4842932,0
0370418,5
0021027,7
0073066,1
0377088,54
8941440,47
0362415,2
1270491,1
0074365,39
0082317,3
8821182,22
0106786,2
0009996,7
0041892,11
5834854,44
7468616,58
2461030,5
5606664,772
10407272,0
8902814,0
4500678,0
3881410,0
1003009,9
9479138,1
7390588,112
1378676,0
0102994,29
1999845,1
7248248,29
7439064,3
7798644,16
10204940,5
7857368,2
10987544,13
4594124,1
0064789,37
0433409,6
1571235,1
2633872,0
5622284,0
3505274,2
4026336,2
6313348,5
5296936,0
5169738,0
0438299,1
7399124,2
8946378,1065
8623904,442
4332232,762
3680476,2
0309093,2
1298774,1
10228168,8
8655708,23
6098380,17
1753444,3
7730928,0
6725226,1
2992946,0
0923636,3
10608464,1
8214936,1
8739752,15
0352696,11
8961624,0
5934894,6
7483340,11
7329602,17
2613012,2
0361670,17
4465572,46
10977680,9
2100573,13
0342800,5
3968004,2
9049130,1
9354944,116
7831358,29
0848360,1
0061720,17
6473542,41
9185542,2
7736478,13
5704704,3
5194048,10
1664010,4
8783532,2
0240885,1
9652888,11
4538294,19
0086096,7
2534684,0
0298061,3
1620981,208
10876506,2
0275425,6
0073047,24
7655142,1
0210296,9
0040682,7
10583224,0
10925782,18
7714770,1
0270833,1
8451018,6
10971510,0
0018087,10
1715322,7
0107604,10
4738238,5
1704586,16
0088263,60
1478274,0
6547786,33
8388508,118
4486868,1
1728976,38
5677720,1
10952752,24
0296689,1
6521876,74
9097270,11
7892606,0
5580252,3
4539154,0
1341335,9
2921338,18
4177018,7
8706942,1
0383053,36
5028698,7
8236394,2
9056192,3
3278988,16
0069122,0
10121372,13
10579992,6
0040578,6
0146367,8
7296782,3
0087774,7
6078866,45
4818930,11
4659548,5
4625196,4
4363984,0
4029868,4
3800894,12
3382148,37
5120640,32
1193622,5
0428662,10
6494556,5
3879066,0
0012620,8
2649086,2
0091633,4
11043546,3
6112524,9
8809652,62
7013830,1
0223946,5
0000235,5
1086781,1
0080468,20
0424089,6
1985249,1
4647410,1
4520988,794
7210426,3
0080662,22
4843040,0
9358228,15
7217298,0
10250750,0
3096778,0
8101850,122
9026524,24
8663942,1
2902316,0
7818580,7
0268224,0
8856090,9
0499545,0
9648584,0
0363630,5
0292522,10
0166204,5
0292521,10
0166205,9
2482108,1
0295274,12
0166203,6
5033998,632
8725518,2
8767908,2
8152750,4
9311062,3
9204204,36
8550514,5
5797164,4
0833880,1
7587282,1
7248884,2
7575076,0
10682000,30
0075375,18
0235297,3
1302006,2190
3070506,13
0099622,5
9749604,1
9236264,2
5865326,280
0430059,4
8284860,18
0095189,13
6926356,1
0320443,1
6207404,1
7090134,1
3394510,11
1536516,26
3815430,13
6427854,18
7777074,13
2088888,5
7678546,3
7797250,1
0038129,36
8110640,419
0150239,0
9076378,0
1441869,0
6317236,27
7078658,46
1139630,1
0037634,7
3685668,16
3098998,1
0478397,0
5987710,0
1139622,0
6762430,0
4554186,13
8553134,0
8731138,2
5178596,0
0155928,1
4641232,1
7377132,4
1931497,1
8366502,23
2202473,0
4920360,11
2721510,0
0078870,2
10648440,16
6772524,6
8757258,1
7548732,187
0388230,113
2076223,25
10847194,14
0063709,9
7224496,3
1292565,0
8073604,2
6324278,192
9109492,0
7942736,21
6038042,29
7738048,10
8497794,8
8328716,255
6143782,48
4558200,51
0047594,4
7712746,11
6552758,33
0212887,20
3345330,0
0416673,2
6628322,59
0044167,47
6970194,5
4863386,4
7802246,6
5792656,60
6844052,0
6312802,2
0228040,31
2185022,73
6378710,29
9767556,0
9522080,5
0248062,1
0214098,0
6272828,35
10103960,2
10140922,4
0336432,3
2866708,36
0175532,0
0118917,4
4246758,4
0068725,11
3021984,6
9514970,2
0847743,2
7832848,54
7246786,8
0770205,6
9358106,1
2219188,5
7493370,39
7221840,0
0194378,2
9248940,143
5171296,3
2198109,2
0330950,6
5603620,5
9398640,183
7193362,10
0049288,4
2273648,12
0070404,10
5290620,26
0480418,2
0487605,2
0480487,1
0487563,2
1890574,1
9615068,0
0495546,4
6106344,0
9275202,6
7983890,11
0478379,1
0058858,1
8206668,2
7557108,1
1388771,0
8461958,2
5829104,27
9351746,3
5347122,10
0115466,3
10095336,8
8404614,268
5859352,11
5687270,15
1023136,0
6848114,1
0209964,0
5859882,22
2162745,6
9617456,22
10520800,14
9116358,6
7721550,1
6665904,1
2155399,11
10545470,2
8751928,17
5522310,5
4020312,21
6091332,2
0019629,3
0262221,7
0864921,1
0409285,8
0045887,3
10720196,3
8325442,0
0395531,2
3842614,19
2398802,0
0038782,41
9352926,15
0398868,11
0096220,1
0086560,1
3901250,2
8134742,247
0114344,9
8712750,80
0142239,10
1018102,4
1646123,1
0982864,0
0119257,19
6197070,0
0123070,2
9358200,4
10550884,27
7080138,2
1047890,2
8860946,5
10122392,6
8359822,4
9252508,277
7416602,1
1240941,10
0454941,15
4586114,4
8773020,1
1058514,1
1379219,1
3313740,1
6570372,11
6535880,197
4742618,0
10011448,33
6836936,819
7967412,1
7336684,0
2108517,1
5643730,46
0098330,7
8912134,6
0079617,1
7434040,0
7368186,12
4645636,5
8893608,8
10545484,48
7407296,28
10847306,94
0052735,36
0381430,4
3338352,0
8800266,4
8997180,1
3832126,11
10003978,4
6211472,0
8360902,20
0078868,7
1854592,1
0219142,6
5628260,2
8079484,3
0398910,4
9129296,6
4682804,41
0817498,7
0312974,1
0269629,4
9596638,0
9081774,0
0810924,17
8025310,23
8009314,41
7319822,11
7156436,18
7094374,3
7085054,4
6732748,12
4817466,4
4320560,4
10376068,39
9699028,17
3322898,2
4876096,1
9252468,0
2819948,3
8819596,10
0324258,0
5535436,3
7390044,2
0376835,2
10662450,111
6194538,0
5585946,1
1444262,2
0068652,0
0057218,0
0119087,7
7342916,0
5884004,15
5580688,21
4482288,2
5779286,5
0093772,0
6131414,1
9654050,0
0083203,4
0034487,4
0034528,4
0024461,17
0404551,4
0019881,8
0012320,6
0434964,34
5709164,4
9308464,22
2423204,0
0056075,6
0390649,6
7534102,1
6218010,11
0071247,14
7869070,193
0058486,6
0044841,7
0043527,4
5178264,14
7150512,14
7297586,5
7235398,2
5036924,1
2385126,1
9308458,22
9308456,40
10521814,112
0042235,11
5115676,0
7595276,30
10074486,0
9213932,15
0368186,8
0095077,27
0080717,12
0082397,3
0059725,17
0125366,8
8974964,43
1651921,2
4265878,2
1754570,0
0465500,4
10515852,75
0060297,0
10715194,7
0108254,2
1577064,8
0206154,19
0113834,2
0065589,2
0049588,1
7251666,4
4340072,9
5369484,5
0893319,1
0015673,11
7628080,1
0395296,7
0078421,0
0075798,0
0251624,1
0248551,0
1667354,7
0213627,1
0158472,4
0062515,3
3119922,0
0073028,4
0116511,7
0092247,2
0270095,2
0922641,4
7549996,253
0040942,3
0039442,2
0074774,0
0085535,0
0083813,4
1449854,2
6803212,82
6817944,2
8775580,0
1849810,4
2403931,0
0495687,2
0472211,0
9088954,20
1709694,6
0477656,3
6428774,1
3515668,0
8752498,47
4214922,3
3830590,2
0038045,7
7307318,8
10656112,0
0067357,11
8253606,4
0176734,11
9074574,4
7759362,0
4876334,0
0435434,31
1727825,3
0065235,2
0291573,0
6302006,2
0978833,3
4520132,2
0084840,2
0867591,13
1383251,4
1068962,0
0997174,5
1645134,4
1252516,1
5988370,43
0367257,3
1339131,1
6910020,34
0257909,3
2473884,0
3958014,3
0312932,3
1442576,19
0255327,5
4458206,71
2083995,4
2813906,2
0110231,2
0123127,3
3280264,1
7962598,2
6740154,20
0049685,7
4777008,472
0195324,4
0768116,14
0114119,2
0390042,7
0923703,1
0107005,1
1031930,2
0309565,5
0222961,0
2625968,4
0473475,1
0186939,3
0259956,3
6725484,7
3772640,3
2379424,6
6791886,7
2359656,2
0106281,1
0096778,2
0053578,2
0358345,22
5665040,5
8510350,36
0047278,28
7058080,67
10856726,56
2101390,2
0070091,13
8186318,140
0027113,24
6552104,0
0033698,13
5431890,128
0381338,0
1043636,1
9900060,0
9095526,2
7725112,0
0947021,2
0177845,12
3735686,6
1621427,12
7504496,36
6869820,1
9647768,8
7318102,1
9585788,1
3864056,163
0057317,1
0019328,6
10380066,8
0139225,5
0214716,4
5258106,2
0017618,4
0017949,3
0051655,29
0147856,29
8888186,4
6793818,1
10516972,4
9652782,6
0396946,0
7255568,280
5001456,13
2075318,6
0086290,6
0199006,0
0421089,0
0085610,4
7442160,0
0059892,1
9507276,7
7169514,5
5220602,36
7653254,721
9395794,6
3069954,4
0026816,11
1149581,2
7977594,1
9546082,0
0309720,15
10810424,456
0250635,3
9831136,112
6146394,0
6186940,19
10308686,9
0021054,25
0768183,22
7527564,2
7281538,16
3845888,44
3593120,17
10431010,15
0406799,4
0242029,3
0939626,4
0823494,1
7128732,6
9243946,1605
6977218,4
10324144,275
